ID,gender,employment,income,density,VMT
270,Male,Not in labor force,16942,11372,18.3
271,Male,Employed,96089,12892,26.1
272,Female,Employed,85395,10247,23.4
273,Male,Employed,40822,7910,24.5
274,Female,Not in labor force,44029,11975,18.7
275,Female,Not in labor force,20020,7853,17
276,Female,Not in labor force,22013,9361,16.4
277,Female,Not in labor force,50409,10962,19
278,Female,Not in labor force,13277,11845,14.4
279,Female,Employed,51778,7693,21.7
280,Female,Not in labor force,28578,8984,17.4
281,Male,Employed,42296,11446,23.3
282,Male,Employed,36587,12669,22.5
283,Male,Unemployed,34219,11096,21.1
284,Male,Employed,74300,10832,25.7
285,Female,Employed,40461,10636,20.6
286,Female,Employed,17887,9557,18.1
287,Female,Employed,41315,7319,21.6
288,Female,Not in labor force,26733,12569,16.6
289,Male,Unemployed,40013,9221,22.1
290,Male,Unemployed,24905,8605,20.6
291,Female,Employed,24000,9283,19.3
292,Female,Employed,42963,13595,20.4
293,Female,Employed,62022,11040,21.8
294,Male,Employed,71282,7449,26.2
295,Female,Not in labor force,16824,9969,15.2
296,Male,Employed,41747,11214,23.5
297,Female,Employed,43483,18298,20.3
298,Female,Not in labor force,8894,9739,13.3
299,Male,Not in labor force,25057,7849,20.3
300,Male,Unemployed,17586,14261,18.3
301,Male,Employed,126435,12065,27.3
302,Female,Unemployed,19369,4296,17.7
303,Female,Not in labor force,38497,9066,19
304,Male,Not in labor force,34174,11190,21.2
305,Male,Employed,47850,10221,24
306,Female,Employed,42712,10498,20.8
307,Female,Not in labor force,27744,11334,17.4
308,Female,Employed,31153,8558,20.1
309,Male,Not in labor force,27978,7961,20.6
310,Male,Employed,62523,6090,25.7
311,Female,Employed,73209,8311,23
312,Male,Unemployed,34445,7391,21.9
313,Male,Employed,78712,13591,25.8
314,Male,Employed,48902,7193,24.4
315,Female,Employed,52029,9354,21.5
316,Male,Employed,46189,11660,23.9
317,Male,Employed,146262,12600,27.7
318,Female,Employed,42165,10421,20.8
319,Female,Not in labor force,23398,10143,16.6
320,Female,Not in labor force,17021,10103,16.1
321,Female,Not in labor force,5079,16003,11.3
322,Female,Employed,45920,7335,21.5
323,Female,Employed,40059,10393,20.9
324,Male,Employed,38686,11297,22.9
325,Female,Not in labor force,13616,10851,14.8
326,Female,Not in labor force,27897,12139,16.8
327,Female,Not in labor force,36300,8597,18.3
328,Female,Employed,49163,13778,20.7
329,Male,Employed,53842,11269,24.5
330,Male,Employed,55586,3300,26.3
331,Male,Employed,68520,13388,24.9
332,Male,Employed,48745,5777,25
333,Male,Not in labor force,33695,10528,20.3
334,Male,Employed,23799,9871,22.1
335,Male,Employed,25038,10079,22.1
336,Female,Employed,19468,7828,18.8
337,Male,Employed,41368,14130,22.8
338,Male,Employed,38192,12614,22.7
339,Female,Employed,106511,8521,24.4
340,Female,Not in labor force,40918,10815,18.5
341,Female,Employed,28676,9750,19.6
342,Male,Employed,43636,10578,23.4
343,Female,Not in labor force,26079,9933,17.3
344,Female,Not in labor force,16991,10656,15.5
345,Male,Employed,54004,6110,25.3
346,Female,Employed,89746,10254,23.2
347,Female,Employed,62959,10109,22
348,Female,Not in labor force,53739,5301,21
349,Female,Not in labor force,43697,6623,19.2
350,Male,Employed,23583,9984,21.8
351,Male,Unemployed,6948,13612,15.8
352,Female,Not in labor force,15361,8682,15.3
353,Male,Employed,77646,8052,26.1
354,Female,Not in labor force,14925,10716,15
355,Male,Employed,77312,19596,25.1
356,Female,Employed,30530,6286,20.3
357,Female,Not in labor force,9445,11564,13.3
358,Female,Employed,50936,10701,21.3
359,Male,Employed,38429,12283,22.9
360,Male,Employed,86986,7617,26.1
361,Male,Not in labor force,26351,11076,20
362,Female,Not in labor force,9610,14202,13.3
363,Male,Employed,56483,9710,25
364,Female,Employed,16592,10280,17.8
365,Male,Employed,57236,10182,24.6
366,Male,Employed,20107,6556,21.7
367,Male,Employed,57117,8416,24.9
368,Female,Not in labor force,23156,12909,16.6
369,Male,Employed,51411,13256,23.5
370,Female,Employed,37046,8236,20.5
371,Male,Not in labor force,55334,11123,22.4
372,Female,Employed,35041,8838,20.5
373,Female,Employed,62027,8375,22.4
374,Male,Employed,40681,10424,23.6
375,Male,Employed,30672,10005,22.6
376,Female,Not in labor force,16471,12677,14.8
377,Male,Employed,21740,16727,20.6
378,Female,Employed,66104,6959,22.7
379,Female,Not in labor force,14365,12440,14.7
380,Female,Not in labor force,11272,11219,14.1
381,Female,Employed,36236,9944,20.6
382,Male,Employed,30703,5634,23.6
383,Male,Not in labor force,13935,9488,18.2
384,Male,Unemployed,44673,10041,22.2
385,Female,Employed,63056,13853,21.3
386,Female,Employed,43375,8306,21.4
387,Female,Not in labor force,39008,10436,18.9
388,Male,Employed,54648,10134,24.6
389,Female,Not in labor force,12585,13638,14.4
390,Male,Unemployed,28040,8959,20.9
391,Male,Employed,67343,9744,25
392,Female,Employed,36812,9757,20.6
393,Male,Not in labor force,37734,11217,21.3
394,Female,Not in labor force,31000,8557,17.5
395,Female,Employed,33938,9378,20
396,Female,Employed,45364,8715,21.4
397,Female,Employed,24171,9942,19.3
398,Male,Employed,31153,15209,22.2
399,Male,Unemployed,39895,13594,21.5
400,Female,Unemployed,24381,13407,16.1
401,Female,Employed,29958,14321,19.6
402,Male,Employed,46178,7053,25.2
403,Male,Not in labor force,31048,9761,20.5
404,Female,Employed,42855,9612,21.2
405,Female,Employed,77231,7662,23.4
406,Female,Not in labor force,13353,6541,15.6
407,Male,Not in labor force,31021,8975,20.8
408,Female,Not in labor force,15257,8699,15.9
409,Male,Employed,21772,11321,22
410,Male,Employed,62573,11698,25.1
411,Female,Unemployed,23269,8648,17
412,Female,Unemployed,35173,13844,17.9
413,Female,Employed,12246,4032,18.5
414,Male,Employed,59988,13361,23.9
415,Female,Employed,70265,10171,22.7
416,Female,Employed,60582,11826,21.8
417,Female,Employed,51673,9314,22.2
418,Male,Employed,21919,10538,21.2
419,Female,Employed,27996,9527,19.4
420,Male,Employed,71649,7808,25.9
421,Female,Employed,44460,6121,21.8
422,Female,Not in labor force,2774,10901,9.3
423,Female,Employed,31534,7233,20.2
424,Female,Employed,15386,11872,16.8
425,Male,Unemployed,25240,8733,20.4
426,Male,Not in labor force,16690,9234,18.6
427,Female,Not in labor force,7549,11188,12.9
428,Male,Employed,92698,6132,26.8
429,Female,Employed,42866,9848,20.6
430,Male,Employed,54084,7652,24.4
431,Male,Employed,179130,9902,28.7
432,Female,Employed,58044,7834,22.6
433,Female,Employed,34598,8761,20.5
434,Male,Employed,32096,7116,23.2
435,Female,Employed,36792,12609,20.2
436,Female,Employed,12816,15846,16
437,Male,Employed,70176,11338,25.4
438,Male,Employed,56854,8321,25.3
439,Female,Employed,39376,14666,20.3
440,Female,Not in labor force,17024,8618,16
441,Female,Not in labor force,26301,11006,17.2
442,Male,Not in labor force,32728,11285,20.1
443,Male,Not in labor force,30536,6875,21.3
444,Female,Employed,30787,8446,20.3
445,Female,Not in labor force,37252,10652,18.5
446,Female,Not in labor force,43833,14423,18.3
447,Male,Unemployed,78287,6200,24.5
448,Female,Employed,46166,10351,21.1
449,Male,Unemployed,69524,9352,24.1
450,Female,Employed,28275,8217,19.6
451,Male,Employed,110218,8332,26.8
452,Male,Employed,70621,10399,25.3
453,Female,Not in labor force,58953,8480,20.2
454,Female,Not in labor force,20173,11549,16.4
455,Male,Employed,29013,11079,22.3
456,Female,Not in labor force,12766,8969,14.8
457,Female,Not in labor force,16191,12852,15
458,Female,Employed,16126,11937,17.5
459,Male,Unemployed,38826,7993,21.6
460,Female,Not in labor force,17611,11127,15.9
461,Female,Not in labor force,20809,9331,16.5
462,Male,Employed,44134,7536,24.8
463,Male,Employed,46145,13957,23.4
464,Male,Employed,52931,12239,24.4
465,Female,Employed,66531,11938,21.9
466,Female,Employed,23693,11311,18.9
467,Male,Employed,22845,8962,21.8
468,Male,Employed,33005,11422,22.7
469,Male,Not in labor force,21487,14226,18.7
470,Female,Employed,34058,10208,20.5
471,Female,Employed,42058,12164,20.2
472,Male,Employed,57483,9782,24.8
473,Male,Not in labor force,28617,11230,20.2
474,Male,Not in labor force,24548,8564,20.2
475,Female,Not in labor force,21873,10611,16.6
476,Male,Employed,118642,9586,27.4
477,Female,Employed,42422,12900,20.6
478,Male,Employed,38485,5500,24.6
479,Male,Employed,129042,8839,27.6
480,Male,Not in labor force,33758,11050,20.4
481,Female,Employed,138701,8355,25.3
482,Female,Employed,38087,11974,20.5
483,Female,Employed,28362,11728,19.7
484,Male,Employed,26507,13949,21.6
485,Male,Employed,67269,8652,25.2
486,Male,Employed,57504,11559,24.6
487,Male,Employed,80069,9265,26.2
488,Male,Employed,37452,9059,23.3
489,Female,Employed,67902,13467,22.4
490,Female,Employed,58524,7793,22.1
491,Female,Not in labor force,7158,13589,12.6
492,Female,Not in labor force,13778,9542,14.8
493,Female,Employed,52285,8922,21.6
494,Female,Not in labor force,23410,12710,16.3
495,Female,Employed,34033,11785,19.5
496,Female,Employed,39981,7215,21.2
497,Female,Not in labor force,35977,9010,18.3
498,Female,Employed,81321,10772,23.7
499,Female,Employed,36068,10490,20.2
500,Male,Employed,150655,10257,27.4
501,Female,Unemployed,11406,11160,14.1
502,Female,Not in labor force,14492,6126,16
503,Male,Employed,42356,12667,22.9
504,Female,Employed,57483,7227,22.4
505,Female,Employed,50397,8280,21.9
506,Male,Employed,37947,7569,23.5
507,Female,Not in labor force,3608,13194,10.5
508,Male,Employed,80841,7881,26.3
509,Female,Not in labor force,5743,12689,12
510,Male,Employed,94774,5525,27.4
511,Male,Employed,48881,14928,23.4
512,Female,Not in labor force,29595,8249,18
513,Female,Employed,63463,10402,22.4
514,Female,Employed,70310,7836,23.1
515,Female,Employed,47758,9242,21.1
516,Male,Unemployed,37842,11135,21.2
517,Female,Employed,65125,11611,22.2
518,Female,Employed,48751,7463,21.7
519,Female,Unemployed,46352,11474,18.8
520,Female,Employed,30994,10452,19.5
521,Male,Employed,46360,9018,23.9
522,Female,Not in labor force,17534,8722,15.8
523,Male,Not in labor force,29224,8455,20.6
524,Male,Not in labor force,19958,4955,20.7
525,Female,Employed,27911,13652,18.8
526,Male,Employed,37477,11854,23.3
527,Female,Employed,53073,10477,21.4
528,Female,Employed,74029,13131,22.1
529,Female,Not in labor force,28438,5708,18.1
530,Male,Employed,98898,9086,26.7
531,Female,Employed,42879,7022,21.5
532,Male,Employed,48274,14471,23.7
533,Female,Not in labor force,21267,13852,15.9
534,Male,Employed,33148,8948,23
535,Female,Employed,50816,7257,21.9
536,Female,Not in labor force,9713,9569,14
537,Male,Employed,42546,8066,23.7
538,Female,Unemployed,32405,6178,18.9
539,Male,Not in labor force,31843,11194,20.2
540,Female,Not in labor force,21607,9702,16.5
541,Male,Employed,65662,11102,25.1
542,Female,Not in labor force,24544,8887,17.1
543,Female,Not in labor force,28470,6662,17.9
544,Male,Unemployed,31090,12628,20.6
545,Female,Not in labor force,24430,5868,17.7
546,Female,Employed,40565,6687,21.3
547,Female,Employed,54717,10807,21.5
548,Male,Employed,24677,14450,21.1
549,Male,Employed,62222,11284,24.8
550,Female,Employed,30288,12310,19.7
551,Female,Not in labor force,25435,10039,16.7
552,Female,Employed,23619,7999,19.1
553,Male,Employed,59141,14443,24.1
554,Male,Employed,44858,7962,24.3
555,Female,Not in labor force,30470,13616,17.4
556,Male,Employed,60141,10026,24.5
557,Male,Employed,27297,9752,22.4
558,Female,Not in labor force,25445,12265,16.5
559,Male,Employed,56238,10244,24.8
560,Female,Employed,37230,10849,20.8
561,Female,Employed,40856,10668,20.4
562,Female,Employed,105737,10056,24.1
563,Female,Employed,16381,10554,17.7
564,Male,Employed,146611,11006,28.1
565,Female,Not in labor force,48327,9426,18.9
566,Female,Not in labor force,47546,13162,18.5
567,Female,Employed,55729,13974,20.9
568,Male,Employed,46056,4937,25.5
569,Female,Not in labor force,27036,8583,17.4
570,Female,Not in labor force,14826,10957,15.5
571,Male,Employed,37698,10470,23.8
572,Female,Not in labor force,46820,7834,19.7
573,Male,Employed,38381,9187,23.8
574,Female,Not in labor force,20211,8180,16.8
575,Female,Not in labor force,23866,11818,16.6
576,Male,Not in labor force,60947,7411,23
577,Male,Employed,46139,8622,24.7
578,Female,Not in labor force,18364,7377,16.3
579,Male,Not in labor force,27557,9773,20.1
580,Male,Employed,125060,12542,26.8
581,Male,Employed,102857,8316,27.1
582,Male,Employed,54241,13055,24
583,Male,Unemployed,17342,10526,19
584,Female,Employed,55380,11945,21.6
585,Male,Employed,29631,13080,22.2
586,Female,Not in labor force,25016,11033,16.7
587,Female,Employed,73184,11243,22.5
588,Female,Not in labor force,10561,10282,13.6
589,Male,Employed,76718,12118,25.4
590,Male,Employed,43680,13844,22.9
591,Male,Not in labor force,34376,10221,20.7
592,Female,Unemployed,12574,11319,15
593,Female,Employed,50908,11903,21.3
594,Female,Employed,51977,9359,22.2
595,Male,Employed,84959,10413,25.7
596,Female,Not in labor force,16094,8011,15.6
597,Female,Not in labor force,56987,17340,19.2
598,Male,Not in labor force,18994,10232,18.9
599,Female,Employed,75286,12461,22.8
600,Female,Not in labor force,11308,13573,13.9
601,Male,Not in labor force,26786,11466,20
602,Female,Employed,76620,11424,22.4
603,Female,Employed,38997,13922,20.5
604,Female,Employed,38424,7520,20.9
605,Female,Employed,50394,12162,21.3
606,Male,Employed,75932,10824,25.5
607,Male,Not in labor force,35338,6322,22.2
608,Male,Employed,59229,10226,24.6
609,Female,Not in labor force,36090,8921,18.6
610,Female,Not in labor force,10352,9002,14.4
611,Male,Not in labor force,26238,11498,20.2
612,Male,Employed,83226,6961,26.2
613,Male,Employed,61155,7547,25.2
614,Male,Not in labor force,50280,9405,22.4
615,Female,Not in labor force,9690,9407,13.8
616,Female,Employed,60376,10328,22
617,Female,Employed,90712,11192,23.3
618,Female,Employed,40023,4617,21.5
619,Male,Employed,61390,8517,25.6
620,Male,Employed,46973,9305,24.3
621,Male,Unemployed,48679,7898,22.5
622,Female,Employed,33241,10133,20.2
623,Female,Not in labor force,26815,13260,16.8
624,Female,Employed,60603,8413,22.5
625,Female,Employed,71364,8975,22.7
626,Male,Unemployed,23335,16359,19.5
627,Male,Employed,101246,7282,27.1
628,Male,Employed,114055,16733,26.3
629,Female,Unemployed,16389,10127,16.1
630,Female,Employed,46642,7701,21.4
631,Female,Employed,28284,13015,19.3
632,Male,Employed,25415,7780,22.6
633,Female,Not in labor force,16210,10323,15.6
634,Male,Unemployed,24523,17685,18.8
635,Male,Employed,46482,10747,23.9
636,Female,Employed,38266,9479,20.8
637,Male,Employed,48130,8721,24.7
638,Male,Employed,96814,10699,26.4
639,Female,Not in labor force,21864,11685,16.9
640,Female,Not in labor force,24696,8901,17.1
641,Male,Employed,86104,5599,26.9
642,Male,Employed,44755,8602,24.2
643,Female,Not in labor force,33719,11458,17.8
644,Female,Not in labor force,33542,9336,17.8
645,Female,Not in labor force,23488,10861,17.3
646,Male,Not in labor force,49837,8201,22.6
647,Female,Employed,70972,11698,22.8
648,Female,Employed,34378,13935,19.6
649,Female,Employed,57371,6901,22.6
650,Male,Employed,69509,8247,25.7
651,Male,Not in labor force,44232,8388,22
652,Female,Unemployed,12395,10145,14.9
653,Male,Employed,58060,7127,25
654,Female,Employed,64593,7489,22.4
655,Male,Not in labor force,37406,10437,21.1
656,Female,Employed,40011,10394,20.6
657,Female,Not in labor force,26987,10423,17.2
658,Female,Not in labor force,34794,6630,19.1
659,Male,Employed,98990,5985,27.7
660,Female,Not in labor force,24618,15261,16.2
661,Female,Not in labor force,36442,9780,18.3
662,Female,Employed,54848,8754,21.9
663,Female,Employed,33391,11798,19.6
664,Male,Employed,41475,15355,22.6
665,Male,Employed,48505,13645,24
666,Female,Employed,100844,13523,23.8
667,Female,Employed,55521,10928,21.8
668,Male,Employed,57785,10102,24.7
669,Male,Employed,49991,11785,23.8
670,Male,Employed,110913,8128,27.3
671,Female,Employed,30584,10589,19.8
672,Male,Employed,143707,15673,27.2
673,Male,Employed,53620,9869,24.7
674,Female,Unemployed,10412,9996,14.3
675,Female,Employed,91575,10451,23.8
676,Male,Employed,56246,10048,24.8
677,Female,Employed,58501,10329,21.8
678,Female,Employed,21899,6616,19.4
679,Male,Employed,72008,12821,24.9
680,Male,Employed,32172,8216,22.8
681,Female,Not in labor force,13105,8510,15.3
682,Female,Employed,62000,13505,21.3
683,Male,Employed,76669,12064,25.6
684,Female,Employed,62019,11022,21.7
685,Female,Not in labor force,14336,10356,15.6
686,Male,Not in labor force,47513,8766,22.3
687,Male,Not in labor force,19482,8197,19.1
688,Female,Employed,24846,12776,19
689,Female,Employed,77581,8203,23.1
690,Female,Employed,111583,11514,24.1
691,Male,Employed,27236,8566,22.2
692,Male,Employed,119775,11950,26.7
693,Female,Employed,74834,9103,22.6
694,Female,Employed,22094,12552,18.7
695,Male,Employed,92902,7730,26.7
696,Male,Employed,98204,12275,26.3
697,Male,Unemployed,9440,8087,17.4
698,Male,Employed,115591,8213,27.4
699,Male,Employed,25863,12948,21.7
700,Female,Not in labor force,61181,8255,20.3
701,Male,Employed,88186,6270,27.1
702,Male,Employed,52957,7652,24.8
